Unnamed: 0,Location,Year,Month,Day,Latitude,Longitude,Country,Region_HiMAP,Type,Impact,Fatalities,Injured,Livestock,Leisure,Remarks,Reference
166,Shuraki Kapali catchment,2019,6.0,21.0,38.971146,70.835875,Tajikistan,6.0,glacier detachment,N,0,0.0,0.0,,between 21-23 June,"(Leinss et al., 2021)"
167,Shuraki Kapali catchment,2019,6.0,26.0,38.971146,70.835875,Tajikistan,6.0,glacier detachment,N,0,0.0,0.0,,between 26 Jun - July 1,"(Leinss et al., 2021)"
168,Shuraki Kapali catchment,1994,,,38.975,70.839,Tajikistan,6.0,glacier detachment,N,0,0.0,0.0,,,"(Leinss et al., 2021)"
169,"Khughaz, Nusai, Badakhshan",2017,1.0,30.0,38.413002,70.839546,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
170,"Aroon, Nusai, Badakhshan",2017,1.0,29.0,38.30569,70.83967,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
171,"Aroon, Nusai, Badakhshan",2017,2.0,16.0,38.30569,70.83967,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
172,"Aroon, Nusai, Badakhshan",2020,12.0,27.0,38.30569,70.83967,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
173,"Aroon, Nusai, Badakhshan",2022,1.0,5.0,38.30569,70.83967,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
174,Shuraki Kapali catchment,2004,,,38.972831,70.840745,Tajikistan,6.0,glacier detachment,N,0,0.0,0.0,,,"(Leinss et al., 2021)"
175,Shuraki Kapali catchment,2010,9.0,,38.972831,70.840745,Tajikistan,6.0,glacier detachment,N,0,0.0,0.0,,,"(Leinss et al., 2021)"
176,"Sedya-e-Payan, Nusai, Badakhshan",2017,2.0,5.0,38.3146657,70.84118473,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
177,Shuraki Kapali catchment,2003,9.0,,38.969984,70.845789,Tajikistan,6.0,glacier detachment,N,0,0.0,0.0,,,"(Leinss et al., 2021)"
178,Shuraki Kapali catchment,2003,8.0,,38.969984,70.845789,Tajikistan,6.0,glacier detachment,N,0,0.0,0.0,,,"(Leinss et al., 2021)"
179,Shuraki Kapali catchment,2016,7.0,,38.969984,70.845789,Tajikistan,6.0,glacier detachment,N,0,0.0,0.0,,,"(Leinss et al., 2021)"
180,"Panam, Kuran wa Munjan, Badakhshan",2021,3.0,28.0,35.83943116,70.84646298,Afghanistan,8.0,slab avalanche,N,0,,0.0,,,AKAH-A
181,Rasht,2017,7.0,10.0,38.975,70.85,Tajikistan,6.0,glacier detachment,N,0,0.0,0.0,,in between 10-11 July,"(K��b et al., 2021)"
182,"Rawand (Nusai), Nusai, Badakhshan",2017,1.0,29.0,38.33087591,70.85293008,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
183,"Rawand (Nusai), Nusai, Badakhshan",2017,2.0,5.0,38.33087591,70.85293008,Afghanistan,6.0,slab avalanche,Y,0,4.0,0.0,,4 persons injured,AKAH-A
184,"Wujmi Payan, Nusai, Badakhshan",2022,3.0,14.0,38.3669264,70.85319222,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
185,"Wujmi Payan, Nusai, Badakhshan",2022,3.0,19.0,38.3669264,70.85319222,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
186,"Parkhekh, Nusai, Badakhshan",2017,2.0,16.0,38.33384096,70.86374806,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
187,"Parkhekh, Nusai, Badakhshan",2017,2.0,16.0,38.33384096,70.86374806,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
188,"Parkhekh, Nusai, Badakhshan",2022,3.0,12.0,38.33384096,70.86374806,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
189,"Ullarep, Jurm, Badakhshan",2017,2.0,1.0,36.80525794,70.86590659,Afghanistan,8.0,slab avalanche,N,0,,0.0,,,AKAH-A
190,"Paryad, Nusai, Badakhshan",2022,3.0,13.0,38.44345329,70.89664456,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
191,Nuristan,2017,2.0,4.0,35.317202,70.898674,Afghanistan,8.0,,Y,137,,,,,Afghanistan avalanches death toll passes 135 | Afghanistan | The Guardian
192,"Kalan Dara, Arghanj Khaw, Badakhshan",2015,2.0,23.0,37.349983,70.9095,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
193,"Arward, Nusai, Badakhshan",2017,3.0,26.0,38.33838882,70.91045888,Afghanistan,6.0,slab avalanche,Y,0,,15.0,,,AKAH-A
194,"Arward, Nusai, Badakhshan",2019,1.0,16.0,38.33838882,70.91045888,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
195,"Ubaghn, Nusai, Badakhshan",2017,1.0,24.0,38.42881139,70.93050899,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
196,"Ubaghn, Nusai, Badakhshan",2017,3.0,21.0,38.42881139,70.93050899,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
197,"Ubaghn, Nusai, Badakhshan",2017,4.0,1.0,38.42881139,70.93050899,Afghanistan,6.0,wet snow avalanche,N,0,,0.0,,,AKAH-A
198,"Ubaghn, Nusai, Badakhshan",2017,2.0,5.0,38.42881139,70.93050899,Afghanistan,6.0,slab avalanche,Y,0,,3.0,,,AKAH-A
199,"Ubaghn, Nusai, Badakhshan",2018,2.0,16.0,38.42881139,70.93050899,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
200,"Ubaghn, Nusai, Badakhshan",2018,2.0,16.0,38.42881139,70.93050899,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
201,"Ubaghn, Shukai, Badakhshan",2019,1.0,14.0,38.42881139,70.93050899,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
202,"Ubaghn, Nusai, Badakhshan",2019,2.0,14.0,38.42881139,70.93050899,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
203,"Ubaghn, Nusai, Badakhshan",2021,3.0,13.0,38.42881139,70.93050899,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
204,"Ubaghn, Nusai, Badakhshan",2021,3.0,29.0,38.42881139,70.93050899,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
205,"Ubaghn, Nusai, Badakhshan",2022,1.0,4.0,38.42881139,70.93050899,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
206,"Ubaghn, Nusai, Badakhshan",2022,2.0,23.0,38.42881139,70.93050899,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
207,"Ubaghn, Nusai, Badakhshan",2022,3.0,9.0,38.42881139,70.93050899,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
208,"Ubaghn, Nusai, Badakhshan",2022,3.0,11.0,38.42881139,70.93050899,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
209,"Ubaghn, Nusai, Badakhshan",2022,3.0,13.0,38.42881139,70.93050899,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
